Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000198712,MT-CO2,Gene Expression,0.790010550823613,0.0,0.0,2502609,264.5876030420919,9079
ENSG00000212907,MT-ND4L,Gene Expression,0.781242962765403,0.0,0.0,2004259,228.176193567352,9079
ENSG00000198938,MT-CO3,Gene Expression,0.7690665646081697,0.0,0.0,4979838,512.2176214935158,9079
ENSG00000198899,MT-ATP6,Gene Expression,0.7652197805275421,0.0,0.0,3771542,388.3632479087696,9079
ENSG00000119888,EPCAM,Gene Expression,0.7584961156980673,0.0,0.0,1121551,99.05143084527575,8636
ENSG00000175084,DES,Gene Expression,0.7525941902487988,0.0,0.0,18632,9.778393114171633,1803
ENSG00000171747,LGALS4,Gene Expression,0.7433952304741581,0.0,0.0,655089,58.45261106591928,8379
ENSG00000211592,IGKC,Gene Expression,0.7427908157588075,0.0,0.0,9435535,1396.9951585863453,9015
ENSG00000197956,S100A6,Gene Expression,0.7342920559294371,0.0,0.0,2258250,206.95747053441136,9071
ENSG00000272398,CD24,Gene Expression,0.7306040016739482,0.0,0.0,720873,64.40602007358218,8586
ENSG00000211896,IGHG1,Gene Expression,0.7224672575655995,0.0,0.0,2900135,410.27296197434566,8731
ENSG00000233041,PHGR1,Gene Expression,0.7217582105727373,0.0,0.0,729358,63.461337006120445,8428
ENSG00000198888,MT-ND1,Gene Expression,0.7197510425535204,0.0,0.0,750603,90.8793881557077,9074
ENSG00000211897,IGHG3,Gene Expression,0.7165728023113282,0.0,0.0,866958,147.90417466335074,7871
ENSG00000115386,REG1A,Gene Expression,0.7159837821447081,0.0,0.0,454942,43.23538645177055,7995
ENSG00000198727,MT-CYB,Gene Expression,0.7112846145454708,0.0,0.0,1815943,206.0936014201078,9078
ENSG00000198840,MT-ND3,Gene Expression,0.710082316667396,0.0,0.0,1396739,147.11592177528476,9077
ENSG00000170421,KRT8,Gene Expression,0.7060772850430306,0.0,0.0,578344,53.105866629294496,8620
ENSG00000116299,KIAA1324,Gene Expression,0.7036874954682736,0.0,0.0,420014,36.92471610999681,8160
ENSG00000106541,AGR2,Gene Expression,0.7021549667399015,0.0,0.0,733303,63.04263892013275,8478
ENSG00000104267,CA2,Gene Expression,0.6988357896381812,0.0,0.0,374349,32.677380708887505,8222
ENSG00000046604,DSG2,Gene Expression,0.6945960439037444,0.0,0.0,385967,34.39887481192929,8203
ENSG00000198886,MT-ND4,Gene Expression,0.6934680529813754,0.0,0.0,2697971,300.2126219872101,9078
ENSG00000049540,ELN,Gene Expression,0.6898652555051997,0.0,0.0,11375,3.730716163948155,3518
ENSG00000163435,ELF3,Gene Expression,0.6851904519708494,0.0,0.0,282507,27.742612439614607,8044
ENSG00000164924,YWHAZ,Gene Expression,0.6833680019504442,0.0,0.0,783096,72.69768559953339,8936
ENSG00000198786,MT-ND5,Gene Expression,0.6819416804909181,0.0,0.0,564259,69.48139946450462,9075
ENSG00000133392,MYH11,Gene Expression,0.6781250413803778,0.0,0.0,13591,5.590759641648074,2981
ENSG00000211895,IGHA1,Gene Expression,0.6745773604292689,0.0,0.0,91680,16.43565504297723,4741
